167828120,0,0,1,0,0
167829352,14,46,71,0,1178
167835716,212,491,1534,1,1173
167857182,6,5,9,0,0
167857368,4,8,108,0,1153
167864014,5,3,2,0,515
167864631,2,2,1,0,5
167867271,0,6,2,0,14
167871607,70,162,442,1,304
167874572,10,82,7,0,17
167879944,528,186,47417,0,1168
167880844,5,0,1,0,0
167883533,4,35,3,0,1000
167890145,2,7,2,0,0
167895379,0,0,1,0,0
167898320,526,1,4,2,4
167899060,9,5,2,1,755
167901111,9,10,79,0,739
167903141,23,36,46,3,1005
167906811,10,11,20,0,208
167915212,89,274,551,4,1158
167932614,27,48,18,0,1143
167943024,5,32,6,0,1137
167943657,3,19,65,0,25
167946017,18,23,36,0,417
167962970,0,1,5,0,658
167964727,2,9,1,0,0
167967168,0,1,1,0,816
167971384,0,0,1,0,2
167985104,4,33,2,0,7
167988117,9,3,5,1,7
167988673,3,8,22,1,20
167995184,2,44,70,0,1087
167996355,6,12,16,0,531
167997958,23,144,35,0,1132
168004087,30,53,31,0,491
168009922,1,1,1,0,78
168011817,2,2,4,0,335
168017188,8,90,39,0,1119
168022452,253,251,2398,1,1178
168032801,3,2,1,0,0
168033808,0,5,2,0,407
168036754,1,0,1,0,0
168038176,0,0,1,0,0
168042988,0,3,1,0,692
168053662,6,19,3,0,977
168059785,14,8,2,0,925
168061715,96,47,444,5,1179
168067221,3,19,260,0,437
168075993,2,2,1,0,0
168076143,4,26,45,0,1111
168080646,0,1,1,0,0
168098760,10,16,5,0,1116
168100602,2,0,2,0,769
168105811,0,2,1,0,0
168116557,0,1,1,0,0
168119574,0,6,10,0,43
168122295,1,3,3,0,76
168143526,5,1,1,0,0
168165949,531,195,45761,1,1166
168179586,7,84,5,0,6
168181522,15,95,24,0,524
168185117,49,1882,279,0,631
168194998,2,2,1,0,0
168203313,5,34,7,1,464
168213937,0,0,1,0,0
168229616,0,0,1,0,842
168230253,4,38,7,0,908
168243511,0,224,2,0,971
168254500,16,58,14,0,1042
168255344,1,1,2,0,19
168263663,809,541,5512,0,1164
168265838,1,0,1,0,189
168267855,0,8,2,0,38
168283470,0,312,312,0,1040
168284596,2,0,1,0,0
168285707,65,90,329,6,849
168292062,147,265,239,2,1174
168303141,4,17,2,0,0
